offset,x,y,z,lat,lon
11620,260296.2,-1552434.5,2710.791,75.54308402198505,-35.4817715234521
11640,260278.08,-1552426.1,2710.7203,75.5431865728202,-35.48237143736014
11660,260259.97,-1552417.7,2710.6495,75.54328910707798,-35.482971000881726
11680,260241.85,-1552409.2,2710.5787,75.54339255139962,-35.48357033018519
11700,260223.74,-1552400.8,2710.5079,75.54349508256894,-35.48416991092752
11720,260205.62,-1552392.4,2710.4371,75.54359762722171,-35.484769859256616
11740,260187.51,-1552384.0,2710.371,75.54370015530068,-35.48536945718664
11760,260169.39,-1552375.5,2710.3082,75.54380359344673,-35.4859688210446
11780,260151.27,-1552367.1,2710.2454,75.54390613346231,-35.48656879519998
11800,260133.16,-1552358.7,2710.1826,75.5440086569068,-35.48716841894682
11820,260115.04,-1552350.3,2710.1198,75.54411119382988,-35.48776841029674
11840,260096.93,-1552341.9,2710.0473,75.54421371418366,-35.488368051231824
11860,260078.81,-1552333.4,2709.9717,75.54431714460851,-35.48896745827743
11880,260060.7,-1552325.0,2709.896,75.5444196618732,-35.48956711643423
11900,260042.58,-1552316.6,2709.8204,75.54452219261265,-35.49016714220715
11920,260024.46,-1552308.2,2709.7488,75.54462472180516,-35.490767176579226
11940,260006.35,-1552299.7,2709.7426,75.54472813103438,-35.491366259154695
11960,259988.23,-1552291.3,2709.6325,75.54483065713568,-35.491966310755345
11980,259970.12,-1552282.9,2709.5224,75.54493316667397,-35.49256601191909
12000,259952.0,-1552274.5,2709.4334,75.54503568968214,-35.49316608071524
12020,259933.89,-1552266.0,2709.3684,75.54513909273768,-35.49376519783522
12040,259915.77,-1552257.6,2709.3034,75.54524161265434,-35.49436528386038
12060,259897.66,-1552249.2,2709.2383,75.54534411601162,-35.49496501943602
12080,259879.54,-1552240.8,2709.1733,75.54544663283488,-35.49556512265711
12100,259861.42,-1552232.4,2709.1085,75.54554914811091,-35.49616523447785
12120,259843.31,-1552223.9,2709.0455,75.54565254344766,-35.496764394773024
12140,259825.19,-1552215.5,2708.9825,75.54575505563183,-35.49736452382331
12160,259807.08,-1552207.1,2708.9195,75.54585755126112,-35.497964302408306
12180,259788.96,-1552198.7,2708.8565,75.54596006035156,-35.49856444865505
12200,259770.85,-1552190.2,2708.7936,75.54606344951337,-35.499163643496715
12220,259752.73,-1552181.8,2708.7186,75.54616595551165,-35.49976380697344
12240,259734.61,-1552173.4,2708.6416,75.54626845996249,-35.50036397905019
12260,259716.5,-1552165.0,2708.5647,75.54637094786293,-35.500963800645884
12280,259698.38,-1552156.6,2708.4877,75.54647344921965,-35.501563989919624
12300,259680.27,-1552148.1,2708.4108,75.5465768306611,-35.50216322793895
12320,259662.15,-1552139.7,2708.3669,75.54667932892532,-35.50276343444322
12340,259644.04,-1552131.3,2708.3298,75.54678181064278,-35.50336329045381
12360,259625.92,-1552122.9,2708.2926,75.54688430581264,-35.5039635141555
12380,259607.8,-1552114.4,2708.2554,75.54698769607515,-35.504563145823674
12400,259589.69,-1552106.0,2708.2128,75.54709017315498,-35.50516302765594
12420,259571.57,-1552097.6,2708.0199,75.5471926636843,-35.50576327718908
12440,259553.46,-1552089.2,2707.9486,75.54729513767133,-35.506363176212794
12460,259535.34,-1552080.7,2707.8774,75.54739852175334,-35.50696284244314
12480,259517.23,-1552072.3,2707.8061,75.5475009926492,-35.50756275869181
12500,259499.11,-1552063.9,2707.7349,75.54760347699067,-35.508163042654395
12520,259481.0,-1552055.5,2707.6636,75.54770594479345,-35.50876297609495
12540,259462.88,-1552047.1,2707.5913,75.54780842603991,-35.50936327725592
12560,259444.76,-1552038.6,2707.5187,75.5479118023946,-35.50996298668352
12580,259426.65,-1552030.2,2707.4461,75.54801426555882,-35.51056294594718
12600,259408.53,-1552021.8,2707.3735,75.54811674216378,-35.51116327294106
12620,259390.42,-1552013.4,2707.3009,75.54821920223458,-35.51176324939713
12640,259372.3,-1552004.9,2707.2263,75.54832257240751,-35.51236299338888
12660,259354.19,-1551996.5,2707.1494,75.54842502938651,-35.51296298707088
12680,259336.07,-1551988.1,2707.0726,75.54852749980238,-35.513563348496135
12700,259317.95,-1551979.7,2706.9957,75.54862996866997,-35.51416371852263
12720,259299.84,-1551971.2,2706.9189,75.54873331767827,-35.51476313792774
12740,259281.72,-1551962.8,2706.8405,75.54883578345192,-35.51536352518703
12760,259263.61,-1551954.4,2706.7571,75.5489382326977,-35.51596356188643
12780,259245.49,-1551946.0,2706.6738,75.54904069537548,-35.51656396634539
12800,259227.38,-1551937.6,2706.5905,75.54914314152721,-35.51716402023816
12820,259209.26,-1551929.1,2706.5072,75.54924649778822,-35.51776384199573
12840,259191.14,-1551920.7,2706.4311,75.54934895582326,-35.51836427228952
12860,259173.03,-1551912.3,2706.3628,75.54945139733495,-35.518964352007664
