dist,accum,lat,lon,x,y
0.0,0.13236652566077334,75.48207382839878,-35.310453476538996,266066.53001283284,-1558265.08773603
15.99002198825001,0.13225467171380492,75.48217394381993,-35.3108620179386,266053.5652542202,-1558256.1278119264
31.979915585005287,0.13214781803065817,75.48227404578348,-35.31127060810663,266040.5995601412,-1558247.1694703435
47.969788279493855,0.13204610596970542,75.48237413714322,-35.31167924128454,266027.6330343643,-1558238.2123750367
63.959716379288466,0.13195008124251495,75.4824742174585,-35.31208792299011,266014.665534981,-1558229.2565993874
79.94949681126093,0.13186009843519442,75.48257428410065,-35.312496653308585,266001.69710833416,-1558220.3024288295
95.93892345201472,0.1317762079386333,75.4826743367752,-35.31290542308447,265988.72800885874,-1558211.3498527685
111.92822248163995,0.13169887458199736,75.48277437670427,-35.3133142388417,265975.7580364958,-1558202.3987689351
127.91745342244934,0.1316292303318344,75.48287440507326,-35.313723098928804,265962.78721420805,-1558193.4490410858
143.90691456017902,0.13156843851421915,75.48297442329627,-35.31413201272204,265949.8152608242,-1558184.500559362
159.89612671128359,0.13151821003565925,75.48307442729472,-35.31454097216105,265936.8424710401,-1558175.5537286277
175.88525972270955,0.13147954066374315,75.48317441908442,-35.31494997787139,265923.86879052373,-1558166.6083331564
191.87438649250743,0.13145109966891125,75.48327439853578,-35.31535903398317,265910.8941093495,-1558157.6644061408
207.86345953572,0.13143509334381662,75.4833743645821,-35.31576814226164,265897.9183992479,-1558148.7220714255
223.85252963189163,0.13151589513894488,75.48347431769056,-35.31617730341194,265884.94163239136,-1558139.78128159
239.8414332618803,0.13156881985118749,75.48357425717901,-35.316586511916555,265871.9639714444,-1558130.8420849768
255.83022710644946,0.1315946236289964,75.48367418296127,-35.31699577092471,265858.985332352,-1558121.9045055192
271.8191361586745,0.13159557208942652,75.48377409696562,-35.31740508415605,265846.00557827385,-1558112.9683513306
287.8079421962617,0.1315689348865392,75.48387399723474,-35.317814448316724,265833.02483499737,-1558104.033819364
303.79678605448106,0.131517693602494,75.48397388523021,-35.318223864743175,265820.0430391298,-1558095.100757284
319.78560444984277,0.13145672604536635,75.48407376120467,-35.31863332928982,265807.06029872847,-1558086.1691184354
335.7743465748332,0.13140591504670118,75.4841736232941,-35.31904284664345,265794.0765208217,-1558077.2391266776
351.76283426221306,0.13138066174916638,75.48427347132798,-35.31945240857401,265781.09193236055,-1558068.310762295
367.7511702803334,0.1313889368442884,75.48437330676276,-35.31986201454451,265768.1065209944,-1558059.383864827
383.73934327545936,0.1314133450302353,75.48447312827223,-35.32027166911916,265755.1201871322,-1558050.4585992438
399.72773865984504,0.1314270169089244,75.4845729383937,-35.320681381653216,265742.1326294345,-1558041.5347337404
415.71578442571575,0.13141022208168904,75.48467273461672,-35.32109113336906,265729.1444049531,-1558032.6124534507
431.70380722781135,0.13136515807629237,75.48477251817188,-35.321500935758976,265716.1551784082,-1558023.6916781939
447.6916349102634,0.13130219178909489,75.48487228926665,-35.32191077943533,265703.1652012311,-1558014.7723419091
463.6795649669393,0.1312371905541277,75.48497204946179,-35.32232067315972,265690.17420629953,-1558005.8543159405
479.6672420453307,0.1311926417961943,75.48507179589247,-35.322730610318175,265677.18242644035,-1557996.9378802767
495.6545435794431,0.13118128398133688,75.4851715279957,-35.32314058697658,265664.18997902976,-1557988.0230777068
511.64192995401567,0.13121307387228703,75.48527124911291,-35.323550613114314,265651.1965309074,-1557979.1095921078
527.6292635609624,0.13129324368421832,75.48537095869092,-35.323960684012334,265638.20222061913,-1557970.1974615655
543.616199090372,0.13141432189794278,75.48547065403734,-35.32437079288756,265625.2072823844,-1557961.2869465917
559.6032167414147,0.13156944572544435,75.48557033843565,-35.3247809509313,265612.2113511717,-1557952.3777429592
575.5898291945323,0.13174983160694315,75.48567000974745,-35.32519114215194,265599.21490134747,-1557943.4700084163
591.5765452090802,0.13194540419475675,75.48576966972533,-35.32560138508021,265586.2173966244,-1557934.5636387758
607.562900713461,0.13214974207950098,75.48586931704213,-35.326011661747216,265573.2193501277,-1557925.6586946498
623.5491006617385,0.13235383199073428,75.48596895326727,-35.32642197627748,265560.2206206824,-1557916.7550249337
639.5355646899455,0.13255501564031272,75.4860685806384,-35.32683234089339,265547.22083458287,-1557907.8524435826
655.5217839685486,0.13275591719060648,75.4861681968353,-35.327242739240326,265534.22047941125,-1557898.951126402
671.507941407407,0.13294604201895477,75.48626780296493,-35.32765317613379,265521.219403761,-1557890.050975635
687.4941383067728,0.13310530780524416,75.48636739973104,-35.32806365388785,265508.2175317007,-1557881.1519256663
703.4799902542782,0.1332277244173118,75.48646698500644,-35.32847416159175,265495.2151992069,-1557872.2541566074
719.4658199630721,0.1333165268504069,75.48656656061107,-35.32888470826104,265482.21212750074,-1557863.3575128447
735.4514388349356,0.13337385285420225,75.48666612600053,-35.329295286613515,265469.20852463995,-1557854.4620196538
751.4370122207847,0.13340872012582355,75.48676568181966,-35.329705902375636,265456.20422300056,-1557845.56763362
767.422580209111,0.1334297501493552,75.4868652263132,-35.330116564303,265443.19901695434,-1557836.6745856414
783.4080825344471,0.13344072726535833,75.48696475903404,-35.330527271115116,265430.1929495743,-1557827.7829182518
799.3935650752497,0.13344824593714494,75.48706428104114,-35.33093802100028,265417.1860505463,-1557818.8925081848
815.3791425901913,0.13346347212353332,75.48716379431085,-35.33134881203573,265404.1783356274,-1557810.0031321766
831.3645518287525,0.13347955258453761,75.48726329947414,-35.33175962870342,265391.1702150755,-1557801.1146498953
847.3500145638998,0.1334887497032226,75.48736279931931,-35.332170471274495,265378.16162999795,-1557792.2267601865
